Id,Source,Translation,Comment
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>","Ви впевнені, що хочете очистити дані збереження кампанії? Після продовження сценарій автоматично перезапуститься.<br/><br/><b><color rgba='255,0,0,255'>ПОПЕРЕДЖЕННЯ: ЦЮ ОПЕРАЦІЮ НЕ МОЖНА ВІДМІНИТИ. ВИ ВТРАТИТЕ ВЕСЬ ПРОГРЕС.</color></b>",
JWK-DialogUI-OnlineReset-Title,Wipe warning,Попередження про очищення,
JWK-DifficultyPreset-Custom,Custom,Користувацький,
JWK-DifficultyPreset-Easy,Easy,Легкий,
JWK-DifficultyPreset-Extreme,Extreme,Екстремальний,
JWK-DifficultyPreset-Hard,Hard,Складний,
JWK-DifficultyPreset-Normal,Normal,Звичайний,
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,Використовується для ідентифікації тіл на полі бою.,
JWK-Dogtag_Name_Dynamic,%1 dogtags,Жетони %1,
JWK-Dogtag_Name_Universal,Dogtags,Жетони,
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,Ваш одяг закривавлений. Носіння його порушує маскування і привертає увагу ворога. Вам слід змінити одяг або поплавати.,
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,Ваш одяг очищено. Його носіння більше не викликатиме підозр.,
JWK-EHint-Combatant,"You will be treated as a combatant when openly carrying weapons or wearing combatant attire. Watch out, as you may become wanted if enemies see you.",Вас будуть сприймати як комбатанта якщо відкрито носити зброю або військовий одяг. Якщо вас побачать - ви опинитесь в розшуку.,
JWK-EHint-Wanted,You are now wanted by the enemy. Hide in a safe place and remain out of sight for some time to lose the heat.,Тепер ви в розшуку. Сховайтеся в безпечному місці і залишайтеся поза полем зору деякий час.,
JWK-EditSignUI-Text,Text,Текст,
JWK-EditSignUI-TextColor,Text color,Колір тексту,
JWK-EditSignUI-TextSize,Text size,Розмір тексту,
JWK-EditSignUI-Title,Edit Sign,Редагувати знак,
JWK-EditorAttrib-Heat,Heat level,Рівень розшуку,
JWK-EditorAttrib-HeatDescription,Set to 0% to remove wanted status.,"Встановіть 0%, щоб зняти статус розшуку.",
JWK-EditorAttrib-LockState,Locked,Заблоковано,
JWK-EditorAttrib-Money,Money,Гроші,
JWK-EndGameUI-GameOver,Defeat,Поразка,
JWK-EndGameUI-GameOverDescription,"Despite best efforts and heroic fight, %1 has failed to liberate %2. %3 forces are here to stay for a long time. Next time pay more attention to population support and logistics of your revolution. No military effort in history succeeded without these elements.","Незважаючи на всі зусилля та героїчну боротьбу, %1 не змогли звільнити %2. Війська %3 залишаться тут надовго. Наступного разу приділіть більше уваги підтримці населення та логістиці вашого повстання. Жодна військова операція в історії не досягла успіху без цих елементів.",
JWK-EndGameUI-VictoryDescription,"Great job! Thanks to the relentless effort made by %1, the population of %2 will no longer be opressed by %3 forces. These heroic acts will be remembered by many generations to come.","Чудова робота! Завдяки невтомним зусиллям %1, населення %2 більше не буде пригнічене силами %3. Ці героїчні вчинки запам'ятають багато поколінь.",
JWK-EndGameUI-VictoryTitle,Victory,Перемога,
JWK-EpinephrineInfoWidget-Name,Use this to wake up incapacitated persons. Can be also self administered.,Використовуйте це щоб привести до тями непритомних. Можна також скористатися самостійно.,
JWK-EpinephrineItem-Desc,One time use injector with a dose of epinephrine.,Одноразовий ін'єктор з дозою епінефрину.,
JWK-EpinephrineItem-Name,Epinephrine,Епінефрин,
JWK-Everon-Airport,Airport,Аеропорт,
JWK-Everon-Barracks,Barracks,Казарми,
JWK-Everon-CementPlant,Cement Plant,Цементний завод,
JWK-Everon-ChotainFarm,Chotain Farm,Ферма Шотен,
JWK-Everon-ConcretePlant,Concrete Plant,Завод бетону,
JWK-Everon-EtoupeFarm,Etoupe Farm,Ферма Етуп,
JWK-Everon-FieldHospital,Field Hospital,Польовий госпіталь,
JWK-Everon-Headquarters,Headquarters,Штаб,
JWK-Everon-LeMouleSawmill,Le Moule Sawmill,Лісопилка Ле Мул,
JWK-Everon-LogisticsWarehouse,Logistics Warehouse,Логістичний склад,
JWK-Everon-MontignacFactory,Montignac Factory,Завод Монтіньяк,
JWK-Everon-MontignacFarm,Montignac Farm,Ферма Монтіньяк,
JWK-Everon-PowerPlant,Power Plant,Електростанція,
JWK-Everon-Quarry,Quarry,Кар'єр,
JWK-Everon-ReginaSawmill,Regina Sawmill,Лісопилка Регіна,
JWK-Everon-TrainingGrounds,Training Grounds,Тренувальний майданчик,
JWK-Everon-VDAlmaraFactory,VD Almara Factory,Завод ВД Альмара,
JWK-FM-Appearance-Intro,Appearance reflects how your character is perceived by others and depends on all worn attire and held items. Wearing any piece of military clothing will cause your character to be identified as a <b>combatant</b>. This means enemies will shoot on sight and mark you as wanted — the same applies to openly carrying any type of weapon.,Зовнішній вигляд відображає те як ваш персонаж сприймається іншими і залежить від всього одягу та предметів у руках. Носіння будь-якого військового одягу призведе до ідентифікації вашого персонажа як <b>комбатанта</b>. Це означає що вороги будуть стріляти на ураження і оголосять вас у розшук — те саме стосується відкритого носіння будь-якого типу зброї.,
JWK-FM-Appearance-Settings,"Depending on your difficulty settings, you may see a status icon denoting whether your character is perceived as a combatant.<br/><br/>As the base game does not contain any civilian backpacks, the general purpose military ones are not treated as military equipment.<br/><br/>The absence of a shirt, pants, or boots will cause your character to attract enemy attention. After all, someone running around in only their underwear is bound to look suspicious.","Залежно від налаштувань складності, ви можете бачити іконку статусу, що позначає, чи сприймається ваш персонаж як комбатант.<br/><br/>Оскільки базова гра не містить цивільних рюкзаків, військові рюкзаки загального призначення не вважаються військовим спорядженням.<br/><br/>Відсутність сорочки, штанів або черевиків спричинить привернення уваги ворогів до вашого персонажа. Зрештою, хтось, хто бігає лише в спідній білизні, обов'язково виглядатиме підозрілим.",
JWK-FM-Armories-Intro,"Armories allow to purchase weapons and ammunitions using resources stored at the base.<br/><br/>Different types of armories can be built, depending on the operating base type:<br/><br/>- <b>Allied armory</b> is available at <b>military bases</b> and offers weapons and ammunitions of your supporting faction.<br/><br/>- <b>Field armory</b> is available at <b>FOBs</b> and offers weapons and ammunitions of the player faction.","Зброярні дозволяють купувати зброю та боєприпаси, використовуючи припаси, що зберігаються на базі.<br/><br/>Залежно від типу оперативної бази можна будувати різні типи зброярень:<br/><br/>- <b>Союзна зброярня</b> доступна на <b>військових базах</b> і пропонує зброю та боєприпаси підтримуючої фракції.<br/><br/>- <b>Польова зброярня</b> доступна на <b>передових оперативних базах</b> і пропонує зброю та боєприпаси фракції гравця.",
JWK-FM-Battles-Intro,"Battles occur when control over a certain point of interest is contested. When a battle is won, the contesting faction takes control. Refer to the specific location description to learn how to provoke a battle. Only one battle can be active at any given moment and it's progress cannot be saved. If the game is closed during a battle, the battle will need to be started from the beginning. Battles length and intensity depend on the number of players online, campaign progress, location significance and threat level.<br/><br/>Once a battle begins, everyone will see a notification. Progress bar will appear at the top of the screen, accompanied by the location name. Battle location will be also marked on the map, denoting the <b>contested area</b> by a stripe pattern.","Битви відбуваються, коли контроль над певним місцем інтересу оспорюється. Коли битву виграно, фракція-претендент отримує контроль. Зверніться до опису конкретної локації, щоб дізнатися, як спровокувати битву. Одночасно може бути активною лише одна битва, і її прогрес неможливо зберегти. Якщо гру закрито під час битви, битву потрібно буде починати спочатку. Тривалість і інтенсивність битви залежить від кількості гравців онлайн, прогресу кампанії, значущості локації та рівня загрози.<br/><br/>Після початку битви всі побачать сповіщення. У верхній частині екрана з'явиться панель прогресу разом із назвою локації. Місце битви також буде позначено на карті, а <b>спірна територія</b> буде показана смугастим візерунком.",
JWK-FM-Battles-Phases,"Each battle consists of two phases:<br/><br/>- <b>deployment phase</b>: the enemy is still deploying onto the battlefield. The progress bar is yellow and represents how much of their forces are already fielded. Once the bar completes, the battle will transition into domination phase.<br/><br/>- <b>domination phase</b>: the sides fight for control. The progress bar is green and represents resistance control over the location. The control will increase every few moments if there are more <b>freedom fighters</b> in the <b>contested area</b> than enemies in the near vicinity.<br/><br/>If there are no <b>freedom fighters</b> in the contested area, the resistance will begin to rapidly lose control. In this case, the progress bar will turn red. Once the bar fills, the battle will be lost.","Кожна битва складається з двох фаз:<br/><br/>- <b>фаза розгортання</b>: ворог все ще розгортається на полі битви. Панель прогресу жовта і показує, яка частина їхніх сил уже розгорнута. Після завершення панелі битва перейде у фазу домінування.<br/><br/>- <b>фаза домінування</b>: сторони борються за контроль. Панель прогресу зелена і показує контроль опору над локацією. Контроль зростатиме кожні кілька моментів, якщо в <b>спірній зоні</b> є більше <b>борців за свободу</b>, ніж ворогів поблизу.<br/><br/>Якщо в спірній зоні немає <b>борців за свободу</b>, опір почне швидко втрачати контроль. У цьому випадку панель прогресу стане червоною. Коли панель заповниться, битву буде завершено.",
JWK-FM-BeingWanted-Heat,"<b>Heat level</b> is a measure of how much your character is wanted by the enemy. Once it drops to 0, you will be no longer wanted. Heat decreases over time as long as you stay out of sight of enemy troops. Your current heat level is represented by the fill level of the wanted status icon in the HUD. The time required to fully lose maximum heat depends on your difficulty settings.<br/><br/>If your character dies, the heat level and wanted state does not transfer to your new character.","<b>Рівень розшуку</b> - це міра того, наскільки ваш персонаж розшукується ворогом. Як тільки він впаде до 0, вас більше не шукатимуть. Рівень розшуку знижується з часом, поки ви залишаєтеся поза зором ворожих військ. Ваш поточний рівень розшуку показується рівнем заповнення іконки розшуку в HUD. Час, необхідний для повної втрати максимального рівня розшуку, залежить від налаштувань складності.<br/><br/>Якщо ваш персонаж гине, рівень розшуку та стан розшуку не передаються новому персонажу.",
JWK-FM-BeingWanted-Intro,"Various activities may cause your character to become <b>wanted</b>. This means your character is actively hunted by enemy forces and will be shot on sight, even if you appear as a civilian. Being wanted has also many negative side effects, such as:<br/><br/>- civilian shops will not serve you<br/>- resistance representatives may not want to talk to you<br/>- public transport becomes unavailable<br/>- resting becomes unavailable<br/><br/>...and more.","Певні дії можуть призвести до оголошення вас в <b>розшук</b>. Це означає, що ваш персонаж активно переслідується ворожими силами і буде застрелений при зустрічі, навіть якщо ви виглядаєте як цивільний. Перебування в розшуку також має багато негативних побічних ефектів, таких як:<br/><br/>- цивільні магазини не будуть вас обслуговувати<br/>- представники опору можуть не хотіти з вами розмовляти<br/>- громадський транспорт стає недоступним<br/>- відпочинок стає недоступним<br/><br/>...і це ще не все.",
JWK-FM-Category-FreedomFighters,Freedom Fighters,Freedom Fighters,
JWK-FM-Category-Gameplay,Gameplay,Ігролад,
JWK-FM-Category-General,General,Загальне,
JWK-FM-Category-HeartsAndMinds,Hearts and minds,Серця та розуми,
JWK-FM-Category-Introduction,Introduction,Вступ,
JWK-FM-Category-Locations,Locations,Локації,
JWK-FM-Category-OperatingBases,Operating bases,Оперативні бази,
JWK-FM-Category-Resistance,Resistance,Опір,
JWK-FM-Category-World,World,Світ,
JWK-FM-CharacterStatus-Combatant,"Visible if your character is considered a <b>combatant</b>. This is caused by carrying weapons, using military vehicles and wearing military attire. Or wearing no attire at all.","Видимий, якщо ваш персонаж вважається <b>комбатантом</b>. Серед причин - носіння зброї, використання військової техніки та носіння військового одягу. Або відсутність одягу взагалі.",
JWK-FM-CharacterStatus-Heat,"Visible if your character is <b>wanted</b>. Its fill level represents how much <b>heat</b> your character has, which reduces over time as you remain hidden.","Видимий, якщо ваш персонаж у <b>розшуку</b>. Рівень заповнення показує, наскільки ваш персонаж <b>розшукується</b>, і цей рівень з часом знижується, поки ви залишаєтеся непоміченим.",
JWK-FM-CharacterStatus-IllegalZone,Visible if your character is within an <b>illegal area</b>.,Видимий якщо ваш персонаж знаходиться в <b>забороненій зоні</b>.,
JWK-FM-CharacterStatus-Intro,"<b>Character status</b> is indicated by various icons shown on the HUD in the right-upper corner of the screen. Depending on your <b>difficulty settings</b>, some of the indicators listed below may not be displayed in your game.","<b>Статус персонажа</b> позначається різними іконками, показаними в HUD у правому верхньому куті екрана. Залежно від ваших <b>налаштувань складності</b>, деякі з індикаторів, перелічених нижче, можуть не відображатися.",
JWK-FM-CharacterStatus-Seen,"Visible when your character is within enemy sight. Pulling out weapons, acting suspiciously or committing crimes is not the best idea.","Видимий, коли ваш персонаж перебуває в полі зору ворога. Зброя в руках, підозріла поведінка або скоєння злочинів - не найкраща ідея.",
JWK-FM-CharacterStatus-SeenDetected,"Visible if your character has been detected as a threat and is within enemy sight. If you are at a distance, concealed or in the dark, it will take longer for the enemies to recognize you. When this happens, the icon will gradually fill up, giving you a brief chance to hide.","Видимий, якщо ваш персонаж був виявлений як загроза і перебуває в полі зору ворога. Якщо ви на відстані, приховані або в темряві, ворогам знадобиться більше часу, щоб вас розпізнати. Коли це станеться, іконка заповнюватиметься поступово, даючи вам можливість сховатися.",
JWK-FM-CharacterStatus-Undercover,"Visible if your character is <b>undercover</b>, which means it's impersonating an enemy soldier.","Видимий, якщо ваш персонаж діє <b>під прикриттям</b>, що означає видавання себе за ворожого солдата.",
JWK-FM-CiviliansOverview-GameProgress,"Population support is required indirectly to finish the campaign. Without it, you won't be able to control all required points of interest. It counts towards the progress, so you need to convince every single person to reach 100%.","Підтримка населення потрібна опосередковано для завершення кампанії. Без неї ви не зможете контролювати всі необхідні точки інтересу. Вона є частиною прогресу кампанії, тому вам потрібно переконати кожну людину, щоб досягти 100%.",
JWK-FM-CiviliansOverview-Income,Each supporter will donate a small amount of money to the resistance every day. The funds are then split equally and sent to all present <b>freedom fighters</b> automatically.,Кожен прихильник буде жертвувати невелику суму грошей щодня. Кошти потім діляться порівну та надсилаються всім присутнім <b>борцям за свободу</b> автоматично.,
JWK-FM-CiviliansOverview-Intro,"Civilian population is a key element in your revolution. After all, it is their freedom you are fighting for. Just incidentally they also happen to fuel your efforts with money and manpower. Each civilian may have one of the following stances regarding revolution:<br/><br/>- <b>supporting</b>: friendly to the resistance members and disapproving of the occupier.<br/><br/>- <b>neutral</b>: no stance, the initial state for most of the population. They don't really care about the revolution or the occupier forces. They can be turned into supporters, given enough reasons to.<br/><br/>- <b>hostile</b>: actively against the revolution and supporting the occupier. They cannot be turned into supporters, but given enough time they may become neutral.<br/><br/>Population moods will change in reaction to your actions. While civilians are rather tolerant to acts of war and inconveniences caused by combat against the occupier, any wrongdoings towards them will turn them hostile very quickly. Keep in mind your supporters may become hostile just as well, negating your hard-earned friendliness.<br/><br/>You can inspect general population stats in the campaign progress menu. To check local trends, inspect selected town on the map. Population composition is represented by a progress bar, with color-coded segments proportional to the popularity of relevant stance.","Цивільне населення є ключовим елементом вашої революції. Зрештою, саме за їхню свободу ви боретеся. Вони також є джерелом грошей та людей. Кожен цивільний може мати одну з наступних позицій щодо революції:<br/><br/>- <b>підтримуючий</b>: дружній до членів опору та несхвальний до окупанта.<br/><br/>- <b>нейтральний</b>: без позиції, початковий стан для більшості населення. Вони не дуже переймаються революцією чи окупаційними силами. Їх можна перетворити на прихильників, надавши достатньо причин.<br/><br/>- <b>ворожий</b>: активно проти революції та підтримує окупанта. Їх не можна перетворити на прихильників, але з часом вони можуть стати нейтральними.<br/><br/>Настрої населення змінюватимуться в залежності від ваших дій. Хоча цивільні досить терпимі до бойових дій, будь-які порушення щодо самих цивільних дуже швидко зроблять їх ворожими. Майте на увазі, ворожими можуть стати навіть прихильники.<br/><br/>Ви можете переглянути загальну статистику населення в меню прогресу кампанії. Щоб перевірити місцеві тенденції, оберіть конкретне місто на карті. Склад населення представлений панеллю прогресу з кольоровими сегментами, пропорційними популярності відповідної позиції.",
