Id,Source,Translation,Comment,Modified
JWK-AdminUI-ClearNearbyItems,Clear nearby items,근처 품목을 깨끗하게하십시오,,03 Aug 2025 17:21:43 +0200
JWK-AdminUI-ForceSaveGame,Force save game,힘을 저장하십시오,,03 Aug 2025 17:21:43 +0200
JWK-AdminUI-OpenSettings,Open settings,열기 설정,,03 Aug 2025 17:21:43 +0200
JWK-AdminUI-Title,Admin menu,관리자 메뉴,,03 Aug 2025 17:21:43 +0200
JWK-AdminUI-WipeSaveData,Wipe save data,데이터 저장 데이터,,03 Aug 2025 17:21:43 +0200
JWK-Arland-Airport,Airport,공항,,03 Aug 2025 17:21:43 +0200
JWK-Arland-NewfieldFarm,Newfield Farm,뉴 필드 농장,,03 Aug 2025 17:21:43 +0200
JWK-BankUI-Amount,Amount,양,,03 Aug 2025 17:21:43 +0200
JWK-BankUI-MoneyTransfer,Money transfer,돈 이체,,03 Aug 2025 17:21:43 +0200
JWK-BankUI-Perform,Perform,공연하다,,03 Aug 2025 17:21:43 +0200
JWK-BankUI-Recipient,Receiver,수화기,,03 Aug 2025 17:21:43 +0200
JWK-BankUI-YourMoney,Your money,당신의 돈,,03 Aug 2025 17:21:43 +0200
JWK-BattleFallbackTitle,Battle,전투,,03 Aug 2025 17:21:43 +0200
JWK-BattlePlayerLosing,Resistance is losing control...,저항은 통제력을 잃고 있습니다 ...,,03 Aug 2025 17:21:43 +0200
JWK-BattleProgress,Battle in progress...,전투 진행 중 ...,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryFOB,Field armory,필드 무기고,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,무기와 탄약을 구입하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,저항에 속하는 무기와 탄약에 접근 할 수 있습니다. 품목은 용품을 사용하여 구매합니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryMOB,Allied armory,연합군 병기,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,무기와 탄약을 구입하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,연합군 파벌이 제공하는 무기와 탄약에 접근 할 수 있습니다. 품목은 용품을 사용하여 구매합니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Bunker,Bunker,벙커,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,당신의 보초를위한 아늑한 장소.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,좋은 관찰 지점에 놓으십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-CommandPost,Command post,명령 게시물,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-CommandPost_Description,Have an officer on site.,현장에 경찰관이 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,현장에있는 저항 장교에게 접근 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreFOB,Equipment store,장비 상점,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,의류와 장비를 구입하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,저항에 속하는 유니폼 및 기타 장비에 접근 할 수 있습니다. 품목은 용품을 사용하여 구매합니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreMOB,Equipment store,장비 상점,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,의류와 장비를 구입하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,연합군 파벌이 제공하는 유니폼 및 기타 장비에 접근 할 수 있습니다. 품목은 용품을 사용하여 구매합니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageMedium,Medium Garage,중간 차고,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,2 대의 차량을 저장하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",두 개의 지상 차량을 지정하여 손실을 방지하고 멀리서 회복 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageSmall,Small Garage,작은 차고,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,차량 1 개를 저장하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",단일 지상 차량을 지정하여 손실되지 않도록하고 멀리서 회복 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FiringPosition,Firing position,발사 위치,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,원치 않는 손님을 준비하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,기본 방어 구성.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FuelPoint,Fuel point,연료 지점,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,급유 차량.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,지상 차량을 연료 보급 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-GuardTower,Guard tower,가드 타워,,02 Aug 2025 23:02:30 +0200
JWK-BuildItem-GuardTower_Description,Get a better view.,더 나은 시야를 얻으십시오.,,02 Aug 2025 23:02:32 +0200
JWK-BuildItem-Helipad,Helipad,헬리핀,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-HelipadRepair,Service Helipad,서비스 헬기드,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,헬리콥터를 수리하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,Service Helipad는 단일 헬리콥터를 할당하고 헬리콥터 급유 및 수리를 가능하게합니다. 에어베이스에서만 구성 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Helipad_Description,Store single helicopter.,단일 헬리콥터를 저장하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.",Helipad는 단일 헬리콥터를 할당하여 손실되지 않도록 보호하고 멀리서 검색 할 수 있습니다. 급유 또는 수리 능력이없는 기본 버전.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-LivingArea,Living area,거실,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-LivingArea_Description,Shelter recruits.,대피소 모집.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,모집 할 수있는 몇몇 병사들에게 거실 공간을 제공합니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-MedicalTent,Medical tent,의료용 텐트,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,상처를 치유하고 더 빨리 회복하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,의료용 텐트는 부상 재생을 향상시키고 용품을 사용하여 의료 용품을 구입할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Mortar,Mortar,모르타르,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Mortar_Description,Send a message over long distance.,장거리에서 메시지를 보내십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,완전한 박격포 배치. 발사체는 용품을 사용하여 구입할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-StorageSmall,Small supplies storage,소규모 용품 저장,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-StorageSmall-Description,Store 900 supplies.,900 개의 소모품을 저장하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-StorageSmall-DescriptionLong,Allows to store 900 supplies. First one can be constructed for free.,900 개의 소모품을 저장할 수 있습니다. 첫 번째는 무료로 구성 할 수 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,차량 유지 보수 경사로,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,차량을 수리하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-BuildItem-VehicleRamp_DescriptionLong,,,,03 Aug 2025 17:21:43 +0200
JWK-BuildUI-Cost,Cost:,비용:,,03 Aug 2025 17:21:43 +0200
JWK-BuildUI-Title,Build,짓다,,03 Aug 2025 17:21:43 +0200
JWK-CTA-ConstructionMenu,Construction menu,건축 메뉴,,03 Aug 2025 17:21:43 +0200
JWK-CTA-HideoutResupply,Resupply hideout,재 보급 가죽 아웃,,03 Aug 2025 17:21:43 +0200
JWK-CTA-ManageVehicles,Manage vehicles,차량 관리,,03 Aug 2025 17:21:43 +0200
JWK-CTA-OpenMenu,Freedom Fighters,자유 전투기,,03 Aug 2025 17:21:43 +0200
JWK-CTA-ParkVehicle,Park vehicle,공원 차량,,03 Aug 2025 17:21:43 +0200
JWK-CTA-Radio,Use radio,라디오를 사용하십시오,,03 Aug 2025 17:21:43 +0200
JWK-CTA-TimeToWithstand,Withstand in...,견고한 ...,,03 Aug 2025 17:21:43 +0200
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,공급품을 민간인에게 기부하십시오,,03 Aug 2025 17:21:43 +0200
JWK-CharacterMenu,Character Menu,캐릭터 메뉴,,03 Aug 2025 17:21:43 +0200
JWK-CharacterUI-Age,Age,나이,,03 Aug 2025 17:21:43 +0200
JWK-CharacterUI-Birthday,Birthday,생일,,03 Aug 2025 17:21:43 +0200
JWK-CharacterUI-Birthplace,Birthplace,출생지,,03 Aug 2025 17:21:43 +0200
JWK-CharacterUI-BloodType,Blood type,혈액형,,03 Aug 2025 17:21:43 +0200
JWK-CharacterUI-Title,Profile,윤곽,,03 Aug 2025 17:21:43 +0200
JWK-ConsoleUI-BackToMenu,Back to menu,메뉴로 돌아갑니다,,03 Aug 2025 17:21:43 +0200
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.",모딩 기능이 누락되어 콘솔 시스템에서는 단일 플레이어 및 로컬 호스팅 경험을 사용할 수 없습니다. 개인 전용 서버를 설정하거나 공개 서버에 가입하는 것이 좋습니다.,,03 Aug 2025 17:21:43 +0200
JWK-ConsoleUI-Title,Unavailable on consoles,콘솔에서는 사용할 수 없습니다,,03 Aug 2025 17:21:43 +0200
JWK-ConvoAction-Convert,Convince to support,지원하도록 설득하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ConvoAction-Extort,Extort money,돈을 export,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,회의를 요청하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-AskJob,Ask for a job,직업을 구하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-Confirm,Confirm,확인하다,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-GetPoster,Ask for posters,포스터를 요청하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-ReportBack,Report back,다시보고하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-ReportResistance,Report resistance activity,보고 저항 활동,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-RequestReinforcements,Reinforcements,강화,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-RequestSupport,Request support,지원 지원,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-Trade,Trade,거래,,03 Aug 2025 17:21:43 +0200
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,도그 타그를 켜십시오,,03 Aug 2025 17:21:43 +0200
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.",강제 저장은 단일 작업에서 전체 저장을 수행하여 큰 맵과 많은 데이터로 서버를 차단할 수 있습니다. 이것은 당신을 포함한 원격 플레이어가 연결을 잃게 될 수 있습니다. 이것은 저장 작업 자체에 영향을 미치지 않습니다.,,03 Aug 2025 17:21:43 +0200
JWK-DialogUI-OnlineForceSave-Title,Online session warning,온라인 세션 경고,,03 Aug 2025 17:21:43 +0200
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>","캠페인 저장 데이터를 지우십니까? 진행하면 시나리오가 자동으로 다시 시작됩니다. <br/> <br/> <b> <Color RGBA = '255,0,0,255 '> 경고 :이 작업은 되돌릴 수 없습니다. 모든 진전을 잃게됩니다. </color> </b>",,03 Aug 2025 17:21:43 +0200
JWK-DialogUI-OnlineReset-Title,Wipe warning,경고를 닦으십시오,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyPreset-Custom,Custom,관습,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyPreset-Easy,Easy,쉬운,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyPreset-Extreme,Extreme,극심한,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyPreset-Hard,Hard,딱딱한,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyPreset-Normal,Normal,정상,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-BuildingMultiplier,Building price multiplier,건물 가격 승수,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-BusPriceFlatRate,"Bus cost, flat rate","버스 비용, 고정 요금",,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-BusPricePerKm,"Bus cost, per km",km 당 버스 비용,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-CharacterMaxHeatTime,Character heat cooldown time,캐릭터 열 쿨 다운 시간,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-DogtagValue,Enemy dogtag value,적의 도그 태그 가치,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-DonatedSuppliesPerSupporter,Supplies required to convert supporter,지지자를 전환하는 데 필요한 소모품,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-Economy,Economy,경제,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-EnablePlayerResting,Enable resting (time skip),휴식 활성화 (시간 건너 뛰기),,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FactoryProductionMultiplier,Factory production factor,공장 생산 요인,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FactoryStockMax,Factory stock levels (max.),공장 주식 수준 (Max.),,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FactoryStockMin,Factory stock levels (min.),공장 주식 수준 (Min.),,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FastTravelMinDistance,Min. distance to fast travel,최소 빠른 여행까지의 거리,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FastTravelPriceFlatRate,"Fast travel price, flat rate","빠른 여행 가격, 고정 요금",,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FastTravelPricePerKm,"Fast travel price, per km",km 당 빠른 여행 가격,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FerryPriceFlatRate,"Ferry price, flat rate","페리 가격, 고정 요금",,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-FerryPricePerKm,"Ferry price, per km",km 당 페리 가격,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-GameStart,Start,시작,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-Gameplay,Gameplay,게임 플레이,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-GarageRetrievalCostFactor,Garage retrieval cost factor,차고 검색 비용 요인,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-GarageRetrievalFee,Garage retrieval fee,차고 검색 수수료,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HUD,HUD,hud,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HudShowCombatantIcon,Show combatant status,전투원 상태를 보여줍니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HudShowDetectionIndicator,Show detection indicator,감지 표시기를 표시하십시오,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HudShowIllegalAreaIcon,Show illegal area icon,불법 지역 아이콘을 표시하십시오,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HudShowUndercoverIcon,Show undercover status,비밀 상태를 보여줍니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-HudShowVisibilityIcon,Show visibility icon,가시성 아이콘을 표시하십시오,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-InitialSupport,Initial population support,초기 인구 지원,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-Misc,Miscellaneous,여러 가지 잡다한,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-PlacingMultiplier,Placing price multiplier,가격 승수 배치,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-PlayerRestingEnableHealing,Resting heals players,휴식은 플레이어를 치유합니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-Preset,Preset,사전 설정,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-RespawnCost,Respawn fee,Respawn Fee,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-RespawnCostGuarantee,Don't charge respawn fee below,아래에 Respawn 요금을 청구하지 마십시오,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-ShopProfitMargin,Shop profit margin,쇼핑 이익 마진,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-ShowLocalMarker,Show local player on map,지도에 로컬 플레이어를 보여줍니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-ShowNametagStatusIcons,Show status icons in nametags,나 메 태그에 상태 아이콘을 표시합니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-ShowRemoteMarkers,Show other players on map,지도에서 다른 플레이어를 보여줍니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-StartingMoney,Starting money,돈을 시작합니다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-SupportDistribution,Supporters distribution,지지자 배포,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-SupportDistribution_Clustered,Clustered,클러스터,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-SupportDistribution_Spread,Spreaded,확산,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-SupporterIncome,Income per supporter,지지자 당 소득,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-TppCamera,Third person camera,3 인칭 카메라,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-TppCamera-Default,Default,기본,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-TppCamera-VehicleOnly,Vehicle only,차량 전용,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-TppCamera-VehiclePassengerOnly,Passenger only,승객 만,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-Travel,Travel,여행하다,,03 Aug 2025 17:21:43 +0200
JWK-DifficultyUI-VehicleMaxHeatTime,Vehicle heat cooldown time,차량 열 쿨 다운 시간,,03 Aug 2025 17:21:43 +0200
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,전장에서 발견 된 시체를 식별하는 데 사용됩니다.,,03 Aug 2025 17:21:43 +0200
JWK-Dogtag_FIA,,,,03 Aug 2025 17:21:43 +0200
JWK-Dogtag_Name_Dynamic,%1 dogtags,%1 dogtags,,02 Aug 2025 12:06:27 +0200
JWK-Dogtag_Name_Universal,Dogtags,도그 타그,,03 Aug 2025 17:21:43 +0200
JWK-Dogtag_US,,,,03 Aug 2025 17:21:43 +0200
JWK-Dogtag_USSR,,,,03 Aug 2025 17:21:43 +0200
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,당신의 옷에 피가 흘 렸습니다. 그것들을 착용하면 변장이 깨지고 적의 관심을 끌게됩니다. 옷을 갈아 입거나 수영하러 가야합니다.,,03 Aug 2025 13:11:19 +0200
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,당신의 옷이 청소되었습니다. 그것들을 착용한다고해서 더 이상 당신을 의심하지 않습니다.,,03 Aug 2025 13:07:43 +0200
JWK-EHint-Combatant,"You will be treated as a combatant when openly carrying weapons or wearing combatant attire. Watch out, as you may become wanted if enemies see you.",공개적으로 무기를 들고 있거나 전투원 복장을 착용 할 때 전투원으로 취급됩니다. 적들이 당신을보고 싶을 때 조심하십시오.,,03 Aug 2025 17:21:43 +0200
JWK-EHint-Wanted,You are now wanted by the enemy. Hide in a safe place and remain out of sight for some time to lose the heat.,당신은 이제 적에게 원합니다. 안전한 곳에 숨어서 열을 잃기 위해 얼마 동안 시야에서 벗어나십시오.,,03 Aug 2025 17:21:43 +0200
JWK-EditSignUI-Text,Text,텍스트,,03 Aug 2025 17:21:43 +0200
JWK-EditSignUI-TextColor,Text color,텍스트 색상,,03 Aug 2025 17:21:43 +0200
JWK-EditSignUI-TextSize,Text size,텍스트 크기,,03 Aug 2025 17:21:43 +0200
JWK-EditSignUI-Title,Edit Sign,표시를 편집하십시오,,03 Aug 2025 17:21:43 +0200
JWK-EndGameUI-GameOver,Defeat,패배시키다,,03 Aug 2025 17:21:43 +0200
JWK-EndGameUI-GameOverDescription,"Despite best efforts and heroic fight, %1 has failed to liberate %2. %3 forces are here to stay for a long time. Next time pay more attention to population support and logistics of your revolution. No military effort in history succeeded without these elements.",최선의 노력과 영웅적인 싸움에도 불구하고 %1은 %2를 해방시키지 못했습니다. %3 세력은 오랫동안 머물러 있습니다. 다음에 인구 지원과 혁명의 물류에 더 많은 관심을 기울이십시오. 이러한 요소 없이는 역사에서 군사적 노력이 성공하지 못했습니다.,,03 Aug 2025 17:21:43 +0200
JWK-EndGameUI-VictoryDescription,"Great job! Thanks to the relentless effort made by %1, the population of %2 will no longer be opressed by %3 forces. These heroic acts will be remembered by many generations to come.",좋은 일! %1의 끊임없는 노력 덕분에 %2의 인구는 더 이상 %3 힘에 의해 절제되지 않을 것입니다. 이 영웅적인 행동은 앞으로 많은 세대에 의해 기억 될 것입니다.,,03 Aug 2025 17:21:43 +0200
JWK-EndGameUI-VictoryTitle,Victory,승리,,03 Aug 2025 17:21:43 +0200
JWK-EpinephrineInfoWidget-Name,Use this to wake up incapacitated persons. Can be also self administered.,이것을 사용하여 무력화 된 사람을 깨우십시오. 자체 관리 될 수도 있습니다.,,03 Aug 2025 17:21:43 +0200
JWK-EpinephrineItem-Desc,One time use injector with a dose of epinephrine.,한 번은 에피네프린 용량으로 인젝터를 사용합니다.,,03 Aug 2025 17:21:43 +0200
JWK-EpinephrineItem-Name,Epinephrine,에피네프린,,03 Aug 2025 17:21:43 +0200
JWK-Everon-Airport,Airport,공항,,03 Aug 2025 17:21:43 +0200
JWK-Everon-Barracks,Barracks,막사,,03 Aug 2025 17:21:43 +0200
JWK-Everon-CementPlant,Cement Plant,시멘트 공장,,03 Aug 2025 17:21:43 +0200
JWK-Everon-ChotainFarm,Chotain Farm,코테인 농장,,03 Aug 2025 17:21:43 +0200
JWK-Everon-ConcretePlant,Concrete Plant,콘크리트 식물,,03 Aug 2025 17:21:43 +0200
JWK-Everon-EtoupeFarm,Etoupe Farm,에르심 농장,,03 Aug 2025 17:21:43 +0200
JWK-Everon-FieldHospital,Field Hospital,현장 병원,,03 Aug 2025 17:21:43 +0200
JWK-Everon-Headquarters,Headquarters,본부,,03 Aug 2025 17:21:43 +0200
JWK-Everon-LeMouleSawmill,Le Moule Sawmill,Le Moule 제재소,,03 Aug 2025 17:21:43 +0200
JWK-Everon-LogisticsWarehouse,Logistics Warehouse,물류 창고,,03 Aug 2025 17:21:43 +0200
